State,Dem,Rep,Date,Pollster
AK,41,44,Nov 07 2016,Gravis Marketing
AK,31,48,Nov 08 2016,SurveyMonkey
AK,38,39,Oct 30 2016,Google Consumer Surveys
AK,47,43,Oct 29 2016,Craciun Research
AK,36,37,Oct 16 2016,Lake Research Partners
AK,34,37,Oct 07 2016,Moore Information
AK,31,47,Nov 07 2016,SurveyMonkey
AK,30.6,36.1,Oct 20 2016,IvanMooreResearch
AK,23.23,47.41,Nov 07 2016,Google Consumer Surveys
AK,37.4,37.7,Nov 07 2016,YouGov
AK,29.31,32.58,Nov 01 2016,Google Consumer Surveys
AK,31,39,Oct 07 2016,Moore Information
AK,33,45,Oct 28 2016,SurveyMonkey
AK,37.32,33.15,Oct 27 2016,Google Consumer Surveys
AK,28.07,36.9,Oct 21 2016,Google Consumer Surveys
AK,33,46,Nov 05 2016,SurveyMonkey
AK,29,39,Sep 04 2016,Moore Information
AK,35,46,Nov 04 2016,SurveyMonkey
AK,30,38,Oct 16 2016,Lake Research Partners
AK,31,46,Oct 27 2016,SurveyMonkey
AK,35,47,Nov 03 2016,SurveyMonkey
AK,38,46,Nov 01 2016,SurveyMonkey
AK,37,46,Nov 02 2016,SurveyMonkey
AK,39,47,Oct 31 2016,SurveyMonkey
AK,34.6,29.98,Oct 17 2016,Google Consumer Surveys
AK,31,46,Oct 26 2016,SurveyMonkey
AK,29.97,27.17,Oct 10 2016,Google Consumer Surveys
AK,31,38,Sep 06 2016,SurveyMonkey
AK,47.46,36.7,Oct 05 2016,Google Consumer Surveys
AK,28.37,37.74,Sep 28 2016,Google Consumer Surveys
AK,20.82,39.24,Sep 22 2016,Google Consumer Surveys
AK,30,39,Aug 22 2016,IvanMooreResearch
AK,18.06,44.22,Sep 09 2016,Google Consumer Surveys
AK,23.35,41.15,Sep 14 2016,Google Consumer Surveys
AK,30.84,29.36,Sep 09 2016,Google Consumer Surveys
AK,29.51,37.98,Sep 09 2016,Google Consumer Surveys
